[ Sat Feb 25 17:40:23 2023 ] using warm up, epoch: 5
[ Sat Feb 25 17:41:44 2023 ] using warm up, epoch: 5
[ Sat Feb 25 17:44:20 2023 ] using warm up, epoch: 5
[ Sat Feb 25 17:45:30 2023 ] using warm up, epoch: 5
[ Sat Feb 25 18:04:44 2023 ] using warm up, epoch: 5
[ Mon Feb 27 15:54:15 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:00:30 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:08:29 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:08:54 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:18:43 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:19:50 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:36:11 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:37:44 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:40:00 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:41:24 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:42:57 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:43:46 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:44:36 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:45:24 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:46:42 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:47:55 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:48:33 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:51:09 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:54:07 2023 ] using warm up, epoch: 5
[ Mon Feb 27 16:58:00 2023 ] using warm up, epoch: 5
[ Mon Feb 27 17:01:15 2023 ] using warm up, epoch: 5
[ Mon Feb 27 18:53:29 2023 ] using warm up, epoch: 5
